iso_code,english_name,turkish_name
sot,"Sotho, Southern",Güney Sotho Dili
spa,Spanish,İspanyolca
srd,Sardinian,Sardunyaca
srp,Serbian,Sırpça
srr,Serer,Serer Dili
ssa,Nilo-Saharan,Nil-Sahra Dilleri
ssw,Swati,Swati Dili
suk,Sukuma,Sukuma Dili
sun,Sundanese,Sundaca
sus,Susu,Susu Dili
sux,Sumerian,Sümerce
swe,Swedish,İsveççe
swa,Swahili,Svahili Dili
syr,Syriac,Süryanice
tah,Tahitian,Tahitice
tam,Tamil,Tamilce
tat,Tatar,Tatarca
tel,Telugu,Teluguca
tem,Timne,Timne Dili
ter,Tereno,Tereno Dili
tgk,Tajik,Tacikçe
tgl,Tagalog,Tagalogca
tha,Thai,Tayca
tib/bod,Tibetan,Tibetçe
tig,Tigre,Tigre Dili
tir,Tigrinya,Tigrinya Dili
tiv,Tivi,Tivi Dili
tli,Tlingit,Tlingitçe
tmh,Tamashek,Tamaşekçe
tog,Tonga(Nyasa),Tongaca (Nyasa)
ton,Tonga (Tonga Islands),Tongaca (Tonga Adaları)
tru,Truk,Truk Dili
tsi,Tsimshian,Tsimshian
tsn,Tswana,Tsvana Dili
tso,Tsonga,Tsongaca
tuk,Turkmen,Türkmence
tum,Tumbuka,Tumbuka Dili
tur,Turkish,Türkçe
tut,Altaic,Altay Dilleri
twi,Twi,Tvi Lehçesi
tyv,Tuvinian,Tuvaca
uga,Ugaritic,Ugaritçe
uig,Uighur,Uygurca
ukr,Ukrainian,Ukraynaca
umb,Umbundu,Umbundu Dili
und,Undetermined,Belirsiz
urd,Urdu,Urduca
uzb,Uzbek,Özbekçe
vai,Vai,Vai Dili
ven,Venda,Venda Dili
vie,Vietnamese,Vietnamca
vol,Volapük,Volapük
vot,Votic,Votça
wak,Wakashan,Vakaş Dilleri
wal,Walamo,Walamo Dili
war,Waray,Varayca
was,Washo,Washo Dili
wel/cym,Welsh,Galce
wen,Sorbian,Sorbca
wln,Walloon,Valonca
wol,Wolof,Wolof Dili
xho,Xhosa,Xhosa
yao,Yao,Yao Dili
yap,Yap,Yap Dili
yid,Yiddish,Yidiş
yor,Yoruba,Yoruba Dili
zap,Zapotec,Zapotek Dilleri
zen,Zenaga,Zenaga Dili
zha,Zhuang,Zhuangca
zul,Zulu,Zuluca
zun,Zuni,Zunice
